"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"292850","occ","","","27891","Epidendrosaurus ningchengensis","species","68185","Early Callovian","","164.7","161.2","7648"
"293757","occ","","","28003","Fuscinapedis woodbinensis","species","68030","Early Cenomanian","Middle Cenomanian","99.6","93.5","7663"
"293805","occ","13035","","28006","Iberomesornis romerali","species","65831","Late Barremian","","130","125.45","19339"
"294012","occ","11813","","28050","Mirischia asymmetrica","species","58896","Albian","","113","100.5","11791"
"294055","occ","","","28052","Irritator challengeri","species","64273","Albian","","113","100.5","7683"
"295292","occ","","","28231","Mamenchisaurus hochuanensis","species","56463","Oxfordian","","163.5","157.3","17258"
"295293","occ","","","28232","Xuanhanosaurus qilixiaensis","species","52767","Middle Jurassic","","174.1","163.5","7753"
"295296","occ","","","28234","Shunosaurus lii","species","56457","Oxfordian","","163.5","157.3","7755"
"296444","occ","","","28360","Dystrophaeus viaemalae","species","52875","Late Oxfordian","","161.2","155.7","7793"
"296465","occ","","","28366","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","157.3","145","7803"
"296471","occ","","","28369","Claosaurus agilis","species","52921","Late Coniacian","Early Campanian","89.3","70.6","7805"
"297018","occ","","","28437","Nodosaurus textilis","species","52780","Middle Cenomanian","","99.6","93.5","7835"
"297282","occ","","","28454","Variraptor mechinorum","species","65136","Late Campanian","","83.5","70.6","7840"
"297286","occ","23294","","28454","Atsinganosaurus velauciensis","species","169825","Late Campanian","","83.5","70.6","33197"
"297290","occ","10227","","28455","Variraptor mechinorum","species","65136","Late Campanian","Early Maastrichtian","83.5","66","7840"
"297294","occ","","","28456","Tarascosaurus salluvicus","species","65138","Early Campanian","","83.5","70.6","7842"
